Place,HelmName,Fleet,Age,Tally
1,Scotty Stallman,Male Sailboard,Adult,96
2,Simon Pettifer,Male Sailboard,Adult,7
3,Jim Crossley,Male Sailboard,Adult,82
4,Garry Connell,Male Sailboard,Adult,41
5,Ben Robbins,Male Sailboard,Adult,67
6,Michael George,Male Sailboard,Adult,39
7,John Oliver,Male Sailboard,Adult,35
8,Will Trossell,Male Sailboard,Adult,36
9,Iain Neary,Male Sailboard,Adult,75
10,George Fulton,Male Sailboard,Adult,52
11,Richard Crosby,Male Sailboard,Adult,11
12,Scott Harrison,Male Sailboard,Adult,32
13,Charlie Baker,Male Sailboard,Youth,93
14,Tim Bate,Male Sailboard,Adult,31
15,Nick Deakin,Male Sailboard,Adult,80
16,Andrew Twinn,Male Sailboard,Adult,25
17,Stuart Trunkfield,Male Sailboard,Adult,73
18,Andy Stuart-William,Male Sailboard,Adult,22
19,Russell Thompson,Male Sailboard,Adult,94
20,Joe Trunkfield,Male Sailboard,Adult,71
21,Trevor Whatford,Male Sailboard,Adult,62
22,Nic Dodd,Male Sailboard,Adult,27
23,Simon Barker,Male Sailboard,Adult,44
24,Dylan Chick,Male Sailboard,Youth,61
25,Matthew Lilley,Male Sailboard,Adult,8
26,Matthew York,Male Sailboard,Adult,76
27,Garry Goodwin,Male Sailboard,Adult,42
