Name,Sail Number,Time,Wind Start,Wind Finish,Speed (kts)
Pete Martin,181,13:33:42,7,9,15.18
David Goodrich,197,15:21:18,16,12,17.7
David Goodrich,197,15:09:09,0,13,16.73
Martin Allman,206,13:41:15,14,11,17.44
Martin Allman,206,14:23:29,15,8,16.87
Martin Allman,206,16:15:55,10,9,16.49
Martin Allman,206,14:18:01,8,10,16.35
Martin Allman,206,16:23:37,11,8,15.58
Martin Allman,206,13:30:24,13,13,14.74
Thor Gustaffson,211,14:55:59,15,7,10.89
Thor Gustaffson,211,15:39:27,16,8,0.79
Ian Grounds,276,13:34:54,12,11,16.49
Ian Grounds,276,15:36:48,14,11,16.12
Ian Grounds,276,14:54:04,13,8,15.15
Ian Grounds,276,15:17:09,17,6,11.77
Ian Grounds,276,13:21:32,5,8,6.89
Ian Grounds,276,13:04:24,11,9,6.52
Ian Ruby,313,13:39:30,19,15,20.86
Ian Ruby,313,15:18:46,17,9,19.29
Ian Ruby,313,15:37:08,14,11,18
Alistair Williams,330,13:38:43,19,12,15.71
Alistair Williams,330,13:20:41,10,14,14.53
Mike Coombes,332,15:31:56,15,13,18.75
Mike Coombes,332,15:39:30,74,8,18.43
Mike Coombes,332,14:58:56,15,10,18.09
Mike Coombes,332,15:09:49,14,14,18.06
Mike Coombes,332,16:14:05,11,10,17.54
Mike Coombes,332,16:26:39,11,5,15.11
Mike Coombes,332,13:25:38,13,10,13.16
Mike Coombes,332,14:46:53,13,11,10.17
Mike Coombes,332,16:39:01,10,7,5.58
Mike Coombes,332,12:38:57,12,8,5.3
Mike Coombes,332,12:26:05,12,5,4.97
Mike Coombes,332,12:57:34,8,7,4.85
Bob Date,458,13:36:36,17,17,11.53
Bob Date,458,13:19:27,13,13,11.24
Bob Date,458,14:33:50,11,10,11.19
Bob Date,458,14:50:56,12,9,10.73
Bob Date,458,15:29:32,12,14,10.63
Bob Date,458,13:27:04,9,9,10.39
Bob Date,458,15:20:48,14,12,9.85
Bob Date,458,13:03:45,15,18,9.76
Bob Date,458,15:07:52,12,7,9.66
Bob Date,458,14:58:58,12,7,9.28
Bob Date,458,13:11:29,8,9,9.09
Bob Date,458,15:36:50,70,8,8.78
Bob Date,458,14:42:08,11,7,8.73
Bob Date,458,12:53:57,7,8,8.22
Bob Date,458,12:43:52,12,7,8.2
Bob Date,458,12:15:57,9,8,7.2
Tony Ireland,480,14:28:07,15,13,21
Tony Ireland,480,14:58:14,16,11,19.1
Tony Ireland,480,14:37:39,16,12,17.49
Tony Ireland,480,14:18:59,9,10,11.56
Claude Van Martyn,555,13:34:46,11,17,10.87
Claude Van Martyn,555,15:21:22,14,14,1.74
Tony Morris,604,15:14:41,0,10,18.54
David Williams,612,15:36:35,16,9,15.51
David Williams,612,15:27:35,16,5,14.78
Ludo Brockway,616,14:54:01,10,10,19.39
Ludo Brockway,616,15:29:14,11,8,19.21
Ludo Brockway,616,14:38:04,13,11,18.47
Ludo Brockway,616,15:02:11,15,7,18.41
Ludo Brockway,616,16:09:09,13,12,18.32
Ludo Brockway,616,16:14:28,11,10,17.98
Ludo Brockway,616,14:34:13,15,13,17.05
Ludo Brockway,616,14:43:12,0,8,16.84
Michael Pacey,622,16:10:50,13,10,16.53
Zara Davis,731,15:16:10,14,5,17.9
Zara Davis,731,15:32:00,14,8,17.64
Zara Davis,731,15:08:28,15,12,16.1
Zara Davis,731,14:52:58,12,8,15.52
Simon Moore,751,14:53:14,13,11,18.62
Simon Moore,751,15:32:25,13,14,18.5
Simon Moore,751,15:17:59,15,12,17.42
Simon Moore,751,13:42:44,11,14,0.89
Rob Stack,777,13:41:21,10,13,20.47
Rob Stack,777,13:37:15,18,17,19.88
Rob Stack,777,13:05:27,12,11,5.59
Rob Stack,777,13:30:08,14,12,5.41
Rob Stack,777,13:22:34,8,15,4.94
Rob Stack,777,14:31:20,0,13,1.81
Rob Stack,777,15:35:50,17,10,0.28
Duncan Adam,863,15:21:04,18,11,18.14
Duncan Adam,863,13:32:35,15,13,18.12
Duncan Adam,863,14:30:12,15,10,18.07
Duncan Adam,863,13:38:32,15,12,17.23
Duncan Adam,863,15:25:48,14,9,17.15
Duncan Adam,863,15:01:35,74,10,15.51
Duncan Adam,863,15:15:11,38,9,14.7
Duncan Adam,863,13:24:34,13,11,13.12
Duncan Adam,863,14:42:06,13,8,12.17
David Tuttlebee,888,16:11:43,11,8,14.79
David Tuttlebee,888,15:07:47,0,12,14.46
David Tuttlebee,888,16:18:30,11,7,14.41
David Tuttlebee,888,15:15:34,14,5,13.87
David Tuttlebee,888,13:36:16,16,14,13.84
David Tuttlebee,888,13:13:05,10,11,12.95
David Tuttlebee,888,16:45:15,10,7,12
David Tuttlebee,888,13:25:34,13,10,11.19
David Tuttlebee,888,12:52:51,9,12,6.29
Simon Olley,953,15:19:12,14,10,21.02
Simon Olley,953,15:30:32,15,13,20.11
Simon Olley,953,15:12:07,12,10,18.7
Simon Olley,953,16:08:20,11,12,17.29
