Name,Sail Number,Time,Wind Start,Wind Finish,Speed (kts)
David Garrel,22,15:51:44,9,0,19.65
David Garrel,22,15:58:32,9,0,19.52
David Garrel,22,16:12:31,10,0,18.25
David Garrel,22,16:06:49,10,0,17.54
Barry Mason,23,15:50:16,10,0,18.47
Barry Mason,23,13:18:38,10,0,18.1
Barry Mason,23,16:13:01,8,0,17.06
Barry Mason,23,14:46:45,0,0,16.91
Barry Mason,23,12:53:08,10,0,16.77
Barry Mason,23,16:40:29,10,0,11.99
Trevor Watford,27,16:17:04,11,0,6.32
Trevor Watford,27,16:29:36,2,0,6.18
Trevor Watford,27,16:03:45,9,0,5.51
Richard Jones Jr,32,15:56:54,12,0,18.51
Richard Jones Jr,32,15:52:16,11,0,18.41
Richard Jones Jr,32,16:10:06,9,0,17.62
Richard Jones Jr,32,16:10:06,9,0,17.62
Richard Jones Jr,32,12:37:02,9,0,17.6
Richard Jones Jr,32,16:32:44,8,0,17.46
Richard Jones Jr,32,15:35:57,9,0,17.44
Richard Jones Jr,32,15:47:51,9,0,17.33
Richard Jones Jr,32,16:37:28,9,0,17.23
Richard Jones Jr,32,15:42:52,9,0,16.99
Richard Jones Jr,32,13:02:34,10,0,16.78
Richard Jones Jr,32,16:15:51,9,0,16.74
Richard Jones Jr,32,15:23:09,11,0,16.73
Richard Jones Jr,32,12:40:55,11,0,16.69
Richard Jones Jr,32,14:36:53,11,0,16.62
Richard Jones Jr,32,12:23:42,10,0,16.16
Richard Jones Jr,32,14:42:21,10,0,16.13
Richard Jones Jr,32,12:52:49,11,0,16.13
Richard Jones Jr,32,16:02:17,7,0,15.77
Richard Jones Jr,32,14:30:28,12,0,15.74
Richard Jones Jr,32,12:28:30,8,0,15.26
Richard Jones Jr,32,14:57:46,9,0,15.23
Richard Jones Jr,32,14:24:24,9,0,14.75
Richard Jones Jr,32,16:25:55,9,0,14.74
Nick Scott,55,13:18:17,12,0,21.12
Nick Scott,55,15:26:54,10,0,18.84
Nick Scott,55,13:24:18,11,0,18.84
Nick Scott,55,13:44:43,9,0,18.82
Nick Scott,55,16:04:20,11,0,17.74
Nick Scott,55,13:36:37,9,0,16.57
Nick Scott,55,13:40:10,10,0,15.92
Gareth Baker,69,16:35:44,11,0,18.69
Gareth Baker,69,16:41:54,10,0,16.06
Gareth Baker,69,16:28:32,8,0,15.58
Simon Gregory,82,14:58:57,10,0,17.11
Simon Gregory,82,14:45:45,11,0,17.1
Simon Gregory,82,14:40:34,11,0,16.21
Simon Gregory,82,14:52:33,10,0,14.54
Simon Gregory,82,14:31:02,9,0,14.09
Simon Gregory,82,16:42:16,10,0,13.65
Simon Gregory,82,13:36:14,8,0,12.06
Simon Gregory,82,15:45:43,9,0,11.23
Simon Gregory,82,16:23:38,9,0,5.54
