Place,HelmName,Fleet,Age,Tally
1,Jenna Gibson,Overall Sailboard,Adult,6
2,Michael George,Overall Sailboard,Adult,39
3,Garry Connell,Overall Sailboard,Adult,41
4,Simon Pettifer,Overall Sailboard,Adult,7
5,Tim Bate,Overall Sailboard,Adult,31
6,Scott Norman,Overall Sailboard,Youth,81
7,Scott Harrison,Overall Sailboard,Adult,32
8,Nic Dodd,Overall Sailboard,Adult,27
9,Andrew Twinn,Overall Sailboard,Adult,25
10,Iain Neary,Overall Sailboard,Adult,75
11,Andy Stuart-William,Overall Sailboard,Adult,22
12,Simon Barker,Overall Sailboard,Adult,44
