Place,HelmName,Fleet,Tally
1,Jenna Gibson,Sailboard,6
2,Michael George,Sailboard,39
3,Garry Connell,Sailboard,41
4,Simon Pettifer,Sailboard,7
5,Tim Bate,Sailboard,31
6,Scott Norman,Sailboard,81
7,Scott Harrison,Sailboard,32
8,Nic Dodd,Sailboard,27
9,Andrew Twinn,Sailboard,25
10,Iain Neary,Sailboard,75
11,Andy Stuart-William,Sailboard,22
12,Simon Barker,Sailboard,44
