Place,HelmName,Fleet,Tally
1,Richard Hobson,Wingboard,4
2,Ben Robbins,Wingboard,67
3,Nick Barrett,Wingboard,97
4,Mark Salvage,Wingboard,59
5,John-Paul Standish,Wingboard,2
