Place,HelmName,Fleet,Age,Tally
1,Simon Pettifer,Male Windsurf,Adult,2
2,Jonathan Ingram,Male Windsurf,Adult,57
3,Scott Norman,Male Windsurf,Adult,51
4,Mark Palmer,Male Windsurf,Adult,48
5,Iain Neary,Male Windsurf,Adult,11
6,John Oliver,Male Windsurf,Adult,50
7,Mark Ingram,Male Windsurf,Adult,56
8,Scott Harrison,Male Windsurf,Adult,8
9,Shane Verrion,Male Windsurf,Adult,69
10,Andy Stuart-William,Male Windsurf,Adult,42
11,Andrew Twinn,Male Windsurf,Adult,75
12,Paul Arnold,Male Windsurf,Adult,73
13,Simon Barker,Male Windsurf,Adult,26
14,George Fulton,Male Windsurf,Adult,9
