Place,HelmName,Fleet,Age,Tally
1,Scotty Stallman,Overall Windfoil,Adult,89
2,Michael George,Overall Windfoil,Adult,1
3,Garry Connell,Overall Windfoil,Adult,19
4,Tim Bate,Overall Windfoil,Adult,40
5,Mark Ingram,Overall Windfoil,Adult,56
