Place,HelmName,Fleet,Age,Tally
1,Simon Pettifer,Overall Windsurf,Adult,2
2,Jenna Gibson,Overall Windsurf,Adult,3
3,Jonathan Ingram,Overall Windsurf,Adult,57
4,Scott Norman,Overall Windsurf,Adult,51
5,Mark Palmer,Overall Windsurf,Adult,48
6,Iain Neary,Overall Windsurf,Adult,11
7,John Oliver,Overall Windsurf,Adult,50
8,Mark Ingram,Overall Windsurf,Adult,56
9,Scott Harrison,Overall Windsurf,Adult,8
10,Shane Verrion,Overall Windsurf,Adult,69
11,Andy Stuart-William,Overall Windsurf,Adult,42
12,Andrew Twinn,Overall Windsurf,Adult,75
13,Paul Arnold,Overall Windsurf,Adult,73
14,Simon Barker,Overall Windsurf,Adult,26
15,George Fulton,Overall Windsurf,Adult,9
