Place,HelmName,Fleet,Age,Tally
1,Simon Pettifer,Overall Windsurf,Adult,2
2,Jonathan Ingram,Overall Windsurf,Adult,57
3,John Oliver,Overall Windsurf,Adult,50
4,Mark Ingram,Overall Windsurf,Adult,56
5,Scott Harrison,Overall Windsurf,Adult,8
6,George Fulton,Overall Windsurf,Adult,9
7,Scott Norman,Overall Windsurf,Adult,51
8,Andrew Twinn,Overall Windsurf,Adult,75
9,Iain Neary,Overall Windsurf,Adult,11
