Place,HelmName,Fleet,Age,Tally
1,Michael George,Male Windfoil,Adult,1
2,Garry Connell,Male Windfoil,Adult,19
3,Tim Bate,Male Windfoil,Adult,40
4,Mark Salvage,Male Windfoil,Adult,80
