Place,HelmName,Fleet,Age,Tally
1,Rafferty Read,Overall Wingfoil,Adult,95
2,Denis Gordo,Overall Wingfoil,Adult,62
3,Rod Dickinson,Overall Wingfoil,Adult,31
4,Oscar Dempsey,Overall Wingfoil,Youth,99
5,Fin Bernie,Overall Wingfoil,Youth,34
6,Andrew Collenette,Overall Wingfoil,Adult,55
7,Chris Cunningham,Overall Wingfoil,Adult,59
8,Anna Collenette,Overall Wingfoil,Adult,22
9,Jon Nichols,Overall Wingfoil,Adult,44
10,Andy Stuart-William,Overall Wingfoil,Adult,42
11,Nick Barrett,Overall Wingfoil,Adult,38
