Place,HelmName,Fleet,Age,Tally
1,Rafferty Read,Overall Wingfoil,Adult,95
2,Rod Dickinson,Overall Wingfoil,Adult,31
3,Richard Hobson,Overall Wingfoil,Adult,92
4,Fin Bernie,Overall Wingfoil,Youth,34
5,Denis Gordo,Overall Wingfoil,Adult,62
6,Andrew Collenette,Overall Wingfoil,Adult,55
7,Anna Collenette,Overall Wingfoil,Adult,22
8,Oscar Dempsey,Overall Wingfoil,Youth,99
9,Jon Nichols,Overall Wingfoil,Adult,44
10,Chris Cunningham,Overall Wingfoil,Adult,59
11,Nick Barrett,Overall Wingfoil,Adult,38
12,Dylan Cullen,Overall Wingfoil,Youth,77
13,Reg Mallett,Overall Wingfoil,Youth,91
