Place,HelmName,Fleet,Age,Tally
1,Finlay Chandler,Male Wingboard,Youth,98
2,Scotty Stallman,Male Wingboard,Adult,96
3,Richard Hobson,Male Wingboard,Adult,4
4,Sullie Yelland,Male Wingboard,Youth,99
5,Oscar Dempsey,Male Wingboard,Youth,104
6,Gary Nichols,Male Wingboard,Adult,19
7,Ben Robbins,Male Wingboard,Adult,67
8,Nick Barrett,Male Wingboard,Adult,97
9,John-Paul Standish,Male Wingboard,Adult,2
10,Peter Mallett,Male Wingboard,Adult,54
11,Mark Salvage,Male Wingboard,Adult,59
12,Reg Mallett,Male Wingboard,Youth,53
1,Finlay Chandler,Overall Wingboard,Youth,98
2,Scotty Stallman,Overall Wingboard,Adult,96
3,Richard Hobson,Overall Wingboard,Adult,4
4,Sullie Yelland,Overall Wingboard,Youth,99
5,Oscar Dempsey,Overall Wingboard,Youth,104
6,Gary Nichols,Overall Wingboard,Adult,19
7,Ben Robbins,Overall Wingboard,Adult,67
8,Nick Barrett,Overall Wingboard,Adult,97
9,John-Paul Standish,Overall Wingboard,Adult,2
10,Peter Mallett,Overall Wingboard,Adult,54
11,Mark Salvage,Overall Wingboard,Adult,59
12,Reg Mallett,Overall Wingboard,Youth,53
