Place,HelmName,Fleet,Age,Tally
1,Simon Pettifer,Overall Windsurf,Adult,2
2,John Oliver,Overall Windsurf,Adult,50
3,Jonathan Ingram,Overall Windsurf,Adult,57
4,Iain Neary,Overall Windsurf,Adult,11
5,Shane Verrion,Overall Windsurf,Adult,69
6,Will Trossell,Overall Windsurf,Adult,32
7,Scott Norman,Overall Windsurf,Adult,51
8,Mark Ingram,Overall Windsurf,Adult,56
9,Scott Harrison,Overall Windsurf,Adult,8
10,Tim Bate,Overall Windsurf,Adult,40
11,Lilia Yelland,Overall Windsurf,Adult,43
12,Andrew Twinn,Overall Windsurf,Adult,75
13,Simon Barker,Overall Windsurf,Adult,26
14,Matthew Lilley,Overall Windsurf,Adult,30
