Place,HelmName,Fleet,Age,Tally
1,Henry Bloodworth,Male Windfoil,Adult,104
2,Scotty Stallman,Male Windfoil,Adult,89
3,Garry Connell,Male Windfoil,Adult,19
4,Michael George,Male Windfoil,Adult,1
5,Mark Salvage,Male Windfoil,Adult,80
