Place,HelmName,Fleet,Age,Tally
1,Denis Gordo,Male Wingfoil,Adult,62
2,Andrew Collenette,Male Wingfoil,Adult,55
3,Richard Hobson,Male Wingfoil,Adult,92
4,Jon Nichols,Male Wingfoil,Adult,44
5,Rod Dickinson,Male Wingfoil,Adult,31
6,Nick Barrett,Male Wingfoil,Adult,38
7,Jez Milne,Male Wingfoil,Adult,28
