Place,HelmName,Fleet,Age,Tally
1,Simon Pettifer,Male Windsurf,Adult,2
2,John Oliver,Male Windsurf,Adult,50
3,Jonathan Ingram,Male Windsurf,Adult,57
4,Iain Neary,Male Windsurf,Adult,11
5,Shane Verrion,Male Windsurf,Adult,69
6,Will Trossell,Male Windsurf,Adult,32
7,Scott Norman,Male Windsurf,Adult,51
8,Mark Ingram,Male Windsurf,Adult,56
9,Scott Harrison,Male Windsurf,Adult,8
10,Tim Bate,Male Windsurf,Adult,40
11,Andrew Twinn,Male Windsurf,Adult,75
12,Simon Barker,Male Windsurf,Adult,26
13,Matthew Lilley,Male Windsurf,Adult,30
